ProofBet Financial Model - 5 Year Projection

ASSUMPTIONS,,,,,,
Exit (Token Listing @ $500M),10000000,100.0x,"Optimistic scenario",,

MONTHLY PROJECTIONS - Year 1,,,,,,
Month,Volume,Revenue,Users,Markets,Expenses,Net
1,300000,3000,500,20,75000,-72000
2,400000,4000,700,25,75000,-71000
3,500000,5000,900,30,75000,-70000
4,650000,6500,1200,35,75000,-68500
5,750000,7500,1500,40,75000,-67500
6,900000,9000,1800,45,75000,-66000
7,1000000,10000,2200,50,75000,-65000
8,1100000,11000,2600,55,75000,-64000
9,1200000,12000,3000,60,75000,-63000
10,1300000,13000,3500,65,75000,-62000
11,1400000,14000,4000,70,75000,-61000
12,1500000,15000,5000,75,75000,-60000

BURN RATE ANALYSIS,,,,,,
,Month 1-6,Month 7-12,Year 2,Year 3,Year 4
Monthly Burn,72000,63000,83333,75000,27083
Runway (months),14,16,12,13,37
Cash Needed,432000,378000,1000000,900000,325000

SUCCESS METRICS - Milestones,,,,,,
Milestone,Target,Timeline,Status,,
Smart Contracts Deployed,Complete,Q1 2026,✓ Done,,
Testnet Launch,100 users,Q1 2026,✓ Done,,
Mainnet Launch,1000 users,Q2 2026,In Progress,,
$1M Volume,Achieved,Q2 2026,Pending,,
$10M Volume,Achieved,Q4 2026,Pending,,
Mobile App Launch,Released,Q3 2026,Pending,,
Break-even,Achieved,Q1-Q2 2029,Projected,,

EXIT SCENARIOS,,,,,,
Scenario,Valuation,Seed Investor Return,Probability,,
Acquisition - Low,50000000,10x,30%,,
Acquisition - Mid,100000000,20x,40%,,
Acquisition - High,200000000,40x,20%,,
Token Listing - Low,100000000,20x,25%,,
Token Listing - Mid,300000000,60x,15%,,
Token Listing - High,500000000,100x,10%,,
Expected Value (Weighted),116000000,23.2x,,,

RISK ADJUSTMENTS,,,,,,
Risk Factor,Impact,Mitigation,Probability,,
Regulatory,High,Decentralized structure,20%,,
Competition,Medium,First-mover + low fees,30%,,
Technical,Low,Audits + testing,10%,,
Market Timing,Medium,Bull market launch,25%,,
Team Execution,Low,Experienced team,15%,,
